pipeline,run_id,TP,TN,FP,FN,Total,Sensitivity,Specificity,Precision,Balanced Accuracy,Macro F1,Stage 2 workload,workload reduction,prediction path,metric path
one-step criteria raw v3,csmed_ft_dev_absft_criterion_raw_v3_gpt54mini_full_completed_20260516,121,361,68,76,626,0.6142131979695431,0.8414918414918415,0.6402116402116402,0.7278525197306923,0.7303306249925211,1.0,0.0,results/preds/csmed_ft/dev/criterion_wise_evidence_grounded/csmed_ft_dev_absft_criterion_raw_v3_gpt54mini_full_completed_20260516/predictions.jsonl,results/metrics/csmed_ft/dev/criterion_wise_evidence_grounded/csmed_ft_dev_absft_criterion_raw_v3_gpt54mini_full_completed_20260516.json
one-step criteria raw v3,csmed_ft_test_absft_criterion_v3_gpt54mini_full_completed_20260516,179,294,53,88,614,0.6704119850187266,0.8472622478386167,0.771551724137931,0.7588371164286716,0.7620096159396982,1.0,0.0,results/preds/csmed_ft/test/criterion_wise_evidence_grounded/csmed_ft_test_absft_criterion_v3_gpt54mini_full_completed_20260516/predictions.jsonl,results/metrics/csmed_ft/test/criterion_wise_evidence_grounded/csmed_ft_test_absft_criterion_v3_gpt54mini_full_completed_20260516.json
one-step direct abs+full,csmed_ft_dev_absft_direct_v2_gpt54mini_full_completed_20260516,180,147,282,17,626,0.9137055837563451,0.34265734265734266,0.38961038961038963,0.6281814632068439,0.5210331971124935,1.0,0.0,results/preds/csmed_ft/dev/direct_criteria_aware/csmed_ft_dev_absft_direct_v2_gpt54mini_full_completed_20260516/predictions.jsonl,results/metrics/csmed_ft/dev/direct_criteria_aware/csmed_ft_dev_absft_direct_v2_gpt54mini_full_completed_20260516.json
two-stage abstract-only -> criteria raw v3,csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516,111,386,43,86,626,0.5634517766497462,0.8997668997668997,0.7207792207792207,0.731609338208323,0.7446521908231121,0.597444089456869,0.402555910543131,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/dev/two_stage/csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/dev/two_stage/csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516.json
two-stage abstract-only -> criteria raw v3,csmed_ft_test_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516,164,302,45,103,614,0.6142322097378277,0.8703170028818443,0.784688995215311,0.742274606309836,0.7461335598069014,0.7312703583061889,0.2687296416938111,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/test/two_stage/csmed_ft_test_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/test/two_stage/csmed_ft_test_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516.json
two-stage abstract-only -> direct abs+full,csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_direct_v2_gpt54mini_20260516,163,236,193,34,626,0.8274111675126904,0.5501165501165501,0.45786516853932585,0.6887638588146203,0.6323810558612535,0.597444089456869,0.402555910543131,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/preds/csmed_ft/dev/two_stage/csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_direct_v2_gpt54mini_20260516/predictions.jsonl,/F00120250029/lixiang_share/liuhongtao_share/EBM-Online/experiments/screening-exp/results/metrics/csmed_ft/dev/two_stage/csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_direct_v2_gpt54mini_20260516.json
